"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"4","Dota 2","Jul 9, 2013","Free","66% (86%/90%)","100,000,000 .. 200,000,000","25:45 (12:33)","Valve","Valve"
"132","Warframe","Mar 25, 2013","Free","83% (92%/71%)","20,000,000 .. 50,000,000","17:05 (04:21)","Digital Extremes","Digital Extremes"
"39","War Thunder","Aug 15, 2013","Free","51% (80%/81%)","10,000,000 .. 20,000,000","10:08 (02:10)","Gaijin Entertainment","Gaijin Entertainment"
"55","PAYDAY 2","Aug 13, 2013","$9.99","58% (83%/79%)","10,000,000 .. 20,000,000","10:15 (02:26)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"12","Tomb Raider","Mar 4, 2013","$19.99","93% (95%/86%)","5,000,000 .. 10,000,000","03:12 (00:59)","Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
"15","Path of Exile","Oct 23, 2013","Free","83% (92%/86%)","5,000,000 .. 10,000,000","11:52 (01:44)","Grinding Gear Games","Grinding Gear Games"
"101","Neverwinter","Dec 5, 2013","Free","47% (78%/74%)","5,000,000 .. 10,000,000","10:24 (02:39)","Cryptic Studios","Perfect World Entertainment"
"146","Age of Empires II HD","Apr 9, 2013","$19.99","90% (94%/68%)","5,000,000 .. 10,000,000","03:38 (01:47)","Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires","Microsoft Studios"
"1","BioShock Infinite","Mar 25, 2013","$29.99","93% (95%/94%)","2,000,000 .. 5,000,000","03:00 (01:02)","Irrational Games, Aspyr (Mac), Virtual Programming (Linux)","2K, Aspyr (Mac)"
"8","The Stanley Parable","Oct 17, 2013","$14.99","80% (91%/88%)","2,000,000 .. 5,000,000","03:03 (01:27)","Galactic Cafe","Galactic Cafe"
"13","Saints Row IV","Aug 19, 2013","$14.99","83% (92%/86%)","2,000,000 .. 5,000,000","02:49 (01:08)","Deep Silver Volition","Deep Silver"
"21","Papers, Please","Aug 8, 2013","$9.99","93% (95%/85%)","2,000,000 .. 5,000,000","01:56 (00:45)","Lucas Pope","3909"
"22","Trine 2: Complete Story","Jun 6, 2013","$19.99","93% (95%/84%)","2,000,000 .. 5,000,000","02:58 (01:42)","Frozenbyte","Frozenbyte"
"23","RIFT","Oct 24, 2013","Free","39% (74%/84%)","2,000,000 .. 5,000,000","01:41 (01:19)","Trion Worlds","Trion Worlds"
"28","Monaco: What's Yours Is Mine","Apr 24, 2013","$14.99","83% (92%/83%)","2,000,000 .. 5,000,000","00:58 (01:11)","Pocketwatch Games","Pocketwatch Games"
"44","Company of Heroes 2","Jun 25, 2013","$19.99","41% (75%/80%)","2,000,000 .. 5,000,000","05:49 (02:27)","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"47","Outlast","Sep 4, 2013","$19.99","95% (96%/80%)","2,000,000 .. 5,000,000","05:16 (00:33)","Red Barrels","Red Barrels"
"51","Brutal Legend","Feb 26, 2013","$14.99","90% (94%/80%)","2,000,000 .. 5,000,000","02:06 (01:21)","Double Fine Productions","Double Fine Productions"
"71","Sanctum 2","May 15, 2013","$14.99","87% (93%/77%)","2,000,000 .. 5,000,000","01:35 (01:00)","Coffee Stain Studios","Coffee Stain Publishing"
"80","Total War: ROME II - Emperor Edition","Sep 2, 2013","$59.95","28% (67%/76%)","2,000,000 .. 5,000,000","06:35 (03:00)","CREATIVE ASSEMBLY","SEGA"
"96","Star Conflict","Feb 27, 2013","Free","43% (76%/75%)","2,000,000 .. 5,000,000","05:17 (03:58)","Star Gem Inc.","Gaijin Entertainment"
"98","Batman: Arkham Origins","Oct 24, 2013","$19.99","60% (84%/74%)","2,000,000 .. 5,000,000","02:42 (01:23)","WB Games Montreal, Splash Damage","Warner Bros. Interactive Entertainment"
"103","Arma 3","Sep 12, 2013","$39.99","74% (89%/74%)","2,000,000 .. 5,000,000","12:24 (03:18)","Bohemia Interactive","Bohemia Interactive"
"111","Shadow Warrior","Sep 26, 2013","$39.99","87% (93%/73%)","2,000,000 .. 5,000,000","02:54 (01:31)","Flying Wild Hog","Devolver Digital"
"119","Amnesia: A Machine for Pigs","Sep 10, 2013","$19.99","25% (65%/72%)","2,000,000 .. 5,000,000","04:50 (06:20)","The Chinese Room","Frictional Games"
"164","The Bureau: XCOM Declassified","Aug 19, 2013","$19.99","27% (66%/66%)","2,000,000 .. 5,000,000","01:19 (01:23)","2K Marin","2K"
"313","RaceRoom Racing Experience","Feb 12, 2013","N/A","17% (58%)","2,000,000 .. 5,000,000","01:10 (00:34)","Sector3 Studios","Sector3 Studios, RaceRoom Entertainment AG"
"334","ORION: Prelude","Apr 16, 2013","$0.99","43% (76%)","2,000,000 .. 5,000,000","01:58 (02:53)","Spiral Game Studios","DANKIE"
"413","DayZ","Dec 16, 2013","$34.99","21% (61%)","2,000,000 .. 5,000,000","08:44 (04:14)","Bohemia Interactive","Bohemia Interactive"
"441","7 Days to Die","Dec 13, 2013","$24.99","49% (79%)","2,000,000 .. 5,000,000","09:38 (02:35)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"494","DCS World Steam Edition","Mar 18, 2013","Free","43% (76%)","2,000,000 .. 5,000,000","02:56 (00:48)","Eagle Dynamics SA","The Fighter Collection"
"498","Cry of Fear","Apr 25, 2013","Free","63% (85%)","2,000,000 .. 5,000,000","02:59 (01:06)","Team Psykskallar","Team Psykskallar"
"512","Space Engineers","Oct 23, 2013","$24.99","68% (87%)","2,000,000 .. 5,000,000","06:57 (02:05)","Keen Software House","Keen Software House"
"2","FEZ","May 1, 2013","$9.99","83% (92%/91%)","1,000,000 .. 2,000,000","04:34 (03:50)","Polytron Corporation","Trapdoor"
"3","Deus Ex: Human Revolution - Director's Cut","Oct 25, 2013","$19.99","80% (91%/91%)","1,000,000 .. 2,000,000","05:24 (03:16)","Eidos Montreal, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)"
"6","Brothers - A Tale of Two Sons","Sep 3, 2013","$14.99","90% (94%/90%)","1,000,000 .. 2,000,000","30:56 (91:01)","Starbreeze Studios AB","505 Games"
"11","Europa Universalis IV","Aug 13, 2013","$39.99","55% (82%/87%)","1,000,000 .. 2,000,000","10:42 (04:45)","Paradox Development Studio","Paradox Interactive"
"16","Rogue Legacy","Jun 27, 2013","$14.99","87% (93%/85%)","1,000,000 .. 2,000,000","00:57 (01:36)","Cellar Door Games","Cellar Door Games"
"18","DmC: Devil May Cry","Jan 24, 2013","$29.99","90% (94%/85%)","1,000,000 .. 2,000,000","02:45 (02:27)","Ninja Theory","Capcom"
"20","The Wolf Among Us","Oct 11, 2013","$14.99","97% (97%/85%)","1,000,000 .. 2,000,000","06:06 (04:04)","Telltale Games","Telltale Games"
"30","Skullgirls","Aug 22, 2013","$9.99","93% (95%/83%)","1,000,000 .. 2,000,000","01:04 (00:36)","Lab Zero Games","Marvelous, Autumn Games"
"31","Antichamber","Jan 31, 2013","$19.99","93% (95%/82%)","1,000,000 .. 2,000,000","01:04 (00:56)","Alexander Bruce","Demruth"
"37","Far Cry 3 - Blood Dragon","May 1, 2013","$14.99","71% (88%/81%)","1,000,000 .. 2,000,000","01:13 (00:49)","Ubisoft Montreal","Ubisoft"
"48","GRID 2","May 27, 2013","$29.99","51% (80%/80%)","1,000,000 .. 2,000,000","03:22 (02:47)","Codemasters Racing, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)"
"68","Risk of Rain","Nov 8, 2013","$9.99","87% (93%/77%)","1,000,000 .. 2,000,000","02:35 (01:25)","Hopoo Games","Chucklefish"
"81","Shadowrun Returns","Jul 25, 2013","$14.99","71% (88%/76%)","1,000,000 .. 2,000,000","11:14 (00:50)","Harebrained Schemes","Paradox Interactive"
"99","Eador. Masters of the Broken World","Apr 19, 2013","$19.99","27% (66%/74%)","1,000,000 .. 2,000,000","02:50 (02:28)","Snowbird Games","Snowbird Games"
"133","Surgeon Simulator","Apr 19, 2013","$9.99","55% (82%/71%)","1,000,000 .. 2,000,000","00:12 (00:12)","Bossa Studios","Bossa Studios"
"138","Resident Evil 6 / Biohazard 6","Mar 22, 2013","$29.99","47% (78%/69%)","1,000,000 .. 2,000,000","06:47 (02:22)","Capcom","Capcom"
"150","Game Dev Tycoon","Aug 29, 2013","$9.99","93% (95%/68%)","1,000,000 .. 2,000,000","03:16 (02:01)","Greenheart Games","Greenheart Games"
"182","Contagion","Oct 25, 2013","$9.99","39% (74%/62%)","1,000,000 .. 2,000,000","02:00 (01:26)","Monochrome, Inc","Monochrome, Inc"
"191","How to Survive","Oct 23, 2013","$14.99","55% (82%/60%)","1,000,000 .. 2,000,000","02:08 (03:21)","Eko Software","505 Games"
"210","Sniper: Ghost Warrior 2","Mar 11, 2013","$9.99","33% (70%/52%)","1,000,000 .. 2,000,000","01:10 (00:17)","City Interactive","CI Games"
"232","Assassin’s Creed IV Black Flag","Nov 19, 2013","$19.99","68% (87%)","1,000,000 .. 2,000,000","03:33 (01:57)","Ubisoft Montreal","Ubisoft"
"280","Ragnarok Online 2","May 1, 2013","Free","18% (59%)","1,000,000 .. 2,000,000","00:03 (00:02)","Gravity, Inc.","Gravity Interactive"
"348","Dust: An Elysian Tail","May 24, 2013","$14.99","95% (96%)","1,000,000 .. 2,000,000","01:25 (00:47)","Humble Hearts LLC","Microsoft Studios"
"391","The Walking Dead: Season 2","Dec 17, 2013","N/A","93% (95%)","1,000,000 .. 2,000,000","02:23 (01:34)","Telltale Games","Telltale Games"
"435","FINAL FANTASY VII","Jul 4, 2013","$11.99","83% (92%)","1,000,000 .. 2,000,000","01:47 (01:11)","Square Enix","Square Enix"
"451","Injustice: Gods Among Us Ultimate Edition","Nov 12, 2013","$19.99","63% (85%)","1,000,000 .. 2,000,000","01:31 (01:48)","NetherRealm Studios, High Voltage Software","Warner Bros. Interactive Entertainment"
"459","Panzar","Apr 12, 2013","Free","25% (65%)","1,000,000 .. 2,000,000","06:13 (04:39)","Panzar Studio","OVALIS INVESTMENTS LIMITED"
"480","Knights and Merchants","Oct 14, 2013","$6.99","60% (84%)","1,000,000 .. 2,000,000","02:59 (03:56)","Topware Interactive","Topware Interactive"
"491","SNOW","Oct 10, 2013","Free","27% (66%)","1,000,000 .. 2,000,000","09:24 (02:22)","Poppermost Productions","Poppermost Productions"
"501","Just Cause 2: Multiplayer Mod","Dec 16, 2013","Free","80% (91%)","1,000,000 .. 2,000,000","01:39 (00:32)","Avalanche Studios","Square Enix"
"5","Spelunky","Aug 8, 2013","$14.99","80% (91%/90%)","500,000 .. 1,000,000","01:40 (01:02)","","Mossmouth"
"9","Guacamelee! Gold Edition","Aug 8, 2013","$14.99","90% (94%/88%)","500,000 .. 1,000,000","02:14 (00:59)","DrinkBox Studios","DrinkBox Studios"
"10","The Swapper","May 30, 2013","$14.99","93% (95%/87%)","500,000 .. 1,000,000","01:43 (01:38)","Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano","Facepalm Games"
"14","Gone Home","Aug 15, 2013","$14.99","43% (76%/86%)","500,000 .. 1,000,000","00:00 (00:00)","Fullbright","Fullbright"
"26","Gunpoint","Jun 3, 2013","$9.99","97% (97%/83%)","500,000 .. 1,000,000","01:09 (01:27)","Suspicious Developments","Suspicious Developments"
"45","Wargame: Airland Battle","May 29, 2013","$19.99","71% (88%/80%)","500,000 .. 1,000,000","00:02 (00:00)","Eugen Systems","Focus Home Interactive"
"46","NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD","Oct 24, 2013","$19.99","74% (89%/80%)","500,000 .. 1,000,000","02:00 (03:57)","CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment"
"56","State of Decay","Nov 5, 2013","N/A","60% (84%/79%)","500,000 .. 1,000,000","13:36 (04:32)","Undead Labs","Microsoft Studios"
"60","Race The Sun","Dec 9, 2013","$9.99","90% (94%/79%)","500,000 .. 1,000,000","00:16 (00:27)","Flippfly LLC","Flippfly LLC"
"62","Baldur's Gate II: Enhanced Edition","Nov 15, 2013","$19.99","63% (85%/78%)","500,000 .. 1,000,000","07:27 (07:26)","Beamdog","Beamdog"
"63","Teleglitch: Die More Edition","Jul 24, 2013","$12.99","77% (90%/78%)","500,000 .. 1,000,000","00:01 (00:00)","Test3 Projects","Paradox Interactive"
"65","LEGO Marvel Super Heroes","Oct 22, 2013","$19.99","80% (91%/78%)","500,000 .. 1,000,000","02:09 (01:05)","Traveller's Tales","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)"
"66","Baldur's Gate: Enhanced Edition","Jan 16, 2013","$19.99","63% (85%/78%)","500,000 .. 1,000,000","26:37 (05:11)","Beamdog","Beamdog"
"73","Resident Evil Revelations / Biohazard Revelations","May 20, 2013","$29.99","58% (83%/77%)","500,000 .. 1,000,000","03:01 (03:12)","Capcom","Capcom"
"87","Poker Night 2","Apr 26, 2013","N/A","60% (84%/75%)","500,000 .. 1,000,000","00:36 (00:52)","Telltale Games","Telltale Games"
"95","Reus","May 16, 2013","$9.99","49% (79%/75%)","500,000 .. 1,000,000","01:16 (00:25)","Abbey Games","Abbey Games"
"97","The Bridge","Feb 22, 2013","$9.99","74% (89%/74%)","500,000 .. 1,000,000","00:27 (00:24)","Ty Taylor and Mario Castañeda, The Quantum Astrophysicists Guild","The Quantum Astrophysicists Guild"
"106","Worms Clan Wars","Aug 15, 2013","$4.99","43% (76%/73%)","500,000 .. 1,000,000","05:14 (04:47)","Team17 Digital Ltd","Team17 Digital Ltd"
"118","The Incredible Adventures of Van Helsing","May 22, 2013","$14.99","58% (83%/72%)","500,000 .. 1,000,000","01:34 (01:02)","NeocoreGames","NeocoreGames"
"124","Cities in Motion 2","Apr 2, 2013","$19.99","17% (58%/72%)","500,000 .. 1,000,000","01:57 (02:20)","Colossal Order Ltd.","Paradox Interactive"
"127","Hammerwatch","Aug 12, 2013","$9.99","74% (89%/72%)","500,000 .. 1,000,000","00:52 (00:29)","Crackshell","Crackshell"
"136","Democracy 3","Oct 14, 2013","$24.99","38% (73%/70%)","500,000 .. 1,000,000","01:29 (01:14)","Positech Games","Positech Games"
"172","Remember Me","Jun 3, 2013","$29.99","58% (83%/65%)","500,000 .. 1,000,000","04:30 (05:31)","DONTNOD Entertainment","Capcom"
"178","Sir, You Are Being Hunted","Aug 19, 2013","$19.99","51% (80%/63%)","500,000 .. 1,000,000","00:00 (00:00)","Big Robot Ltd","Big Robot Ltd"
"185","Sacred Citadel","Apr 16, 2013","$9.99","38% (73%/61%)","500,000 .. 1,000,000","01:12 (00:24)","Southend","Deep Silver"
"203","Guardians of Middle-earth","Aug 29, 2013","$19.99","3% (27%/56%)","500,000 .. 1,000,000","00:00 (00:00)","Zombie Studios","Warner Bros. Interactive Entertainment"
"262","Sid Meier’s Ace Patrol: Pacific Skies","Nov 5, 2013","$4.99","31% (69%)","500,000 .. 1,000,000","00:00 (00:00)","Firaxis Games","2K"
"268","THE KING OF FIGHTERS XIII STEAM EDITION","Sep 13, 2013","$19.99","68% (87%)","500,000 .. 1,000,000","01:39 (02:07)","SNK CORPORATION","SNK CORPORATION"
"293","Soldier Front 2","Jul 3, 2013","Free","49% (79%)","500,000 .. 1,000,000","00:00 (00:00)","Dragonfly","Aeria Games"
"325","The Plan","Feb 10, 2013","N/A","83% (92%)","500,000 .. 1,000,000","00:00 (00:00)","Krillbite Studio","Krillbite Studio"
"341","Fuse","Nov 6, 2013","Free","22% (62%)","500,000 .. 1,000,000","00:55 (00:26)","Mixamo","Mixamo"
"371","Magic 2014 — Duels of the Planeswalkers","Jun 26, 2013","$9.99","60% (84%)","500,000 .. 1,000,000","05:54 (05:53)","Stainless Games","Wizards of the Coast LLC"
"387","Bloody Trapland","Oct 27, 2013","$9.99","60% (84%)","500,000 .. 1,000,000","00:47 (00:48)","2Play","2Play"
"396","FINAL FANTASY VIII","Dec 5, 2013","$11.99","74% (89%)","500,000 .. 1,000,000","00:13 (00:04)","Square Enix","Square Enix"
"423","Viscera Cleanup Detail: Santa's Rampage","Dec 13, 2013","$2.49","77% (90%)","500,000 .. 1,000,000","03:06 (01:02)","RuneStorm","RuneStorm"
"432","Kingdom Wars","Apr 1, 2013","N/A","28% (67%)","500,000 .. 1,000,000","00:00 (00:00)","Reverie World Studios","Space Bullet Dynamics Corporation"
"449","Sid Meier’s Ace Patrol","Aug 27, 2013","$4.99","38% (73%)","500,000 .. 1,000,000","00:00 (00:00)","Firaxis Games","2K"
"463","Tom Clancy’s Splinter Cell Blacklist","Aug 20, 2013","$29.99","58% (83%)","500,000 .. 1,000,000","01:25 (01:16)","Ubisoft Toronto","Ubisoft"
"469","Receiver","Apr 29, 2013","$4.99","66% (86%)","500,000 .. 1,000,000","00:31 (00:50)","Wolfire Games","Wolfire Games"
"472","Pinball Arcade","Nov 4, 2013","Free","38% (73%)","500,000 .. 1,000,000","00:22 (00:12)","FarSight Studios","FarSight Studios"
"485","Project Zomboid","Nov 8, 2013","$14.99","66% (86%)","500,000 .. 1,000,000","07:16 (03:57)","The Indie Stone","The Indie Stone"
"493","Construct 2","Jan 25, 2013","Free","71% (88%)","500,000 .. 1,000,000","02:47 (01:23)","Scirra","Scirra"
"496","FORCED: Slightly Better Edition","Oct 24, 2013","$14.99","41% (75%)","500,000 .. 1,000,000","00:28 (00:09)","BetaDwarf","BetaDwarf"
"7","Rayman Legends","Sep 3, 2013","$29.99","83% (92%/89%)","200,000 .. 500,000","02:41 (02:07)","","Ubisoft"
"17","Trials Evolution: Gold Edition","Mar 21, 2013","$19.99","43% (76%/85%)","200,000 .. 500,000","00:11 (00:03)","Redlynx Ltd, Ubisoft Shanghaï","Ubisoft"
"19","BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien","Feb 26, 2013","$14.99","87% (93%/85%)","200,000 .. 500,000","00:39 (00:57)","Gaijin Games","Gaijin Games"
"25","Starseed Pilgrim","Apr 16, 2013","$5.99","43% (76%/83%)","200,000 .. 500,000","00:00 (00:00)","Droqen","Droqen's Games"
"33","Joe Danger 2: The Movie","Jun 24, 2013","$14.99","60% (84%/82%)","200,000 .. 500,000","00:00 (00:00)","Hello Games","Hello Games"
"38","Kentucky Route Zero","Feb 22, 2013","$24.99","60% (84%/81%)","200,000 .. 500,000","04:14 (01:24)","Cardboard Computer","Cardboard Computer"
"40","King Arthur's Gold","Nov 5, 2013","$9.99","55% (82%/81%)","200,000 .. 500,000","01:07 (00:53)","Transhuman Design","Transhuman Design"
"42","Fallen Enchantress: Legendary Heroes","May 22, 2013","$24.99","47% (78%/80%)","200,000 .. 500,000","19:08 (06:22)","Stardock Entertainment","Stardock Entertainment"
"49","La-Mulana","Apr 15, 2013","$14.99","55% (82%/80%)","200,000 .. 500,000","01:08 (00:32)","NIGORO","AGM PLAYISM"
"50","Proteus","Jan 30, 2013","$9.99","49% (79%/80%)","200,000 .. 500,000","00:00 (00:00)","Ed Key and David Kanaga","Twisted Tree"
"52","Goodbye Deponia","Oct 17, 2013","$19.99","74% (89%/80%)","200,000 .. 500,000","04:31 (03:31)","Daedalic Entertainment","Daedalic Entertainment"
"53","Weird Worlds: Return to Infinite Space","Mar 19, 2013","$4.99","34% (71%/79%)","200,000 .. 500,000","00:00 (00:00)","Digital Eel","Digital Eel"
"54","Memoria","Aug 29, 2013","$19.99","77% (90%/79%)","200,000 .. 500,000","02:23 (01:35)","Daedalic Entertainment","Daedalic Entertainment"
"57","Sang-Froid - Tales of Werewolves","Apr 5, 2013","Free","68% (87%/79%)","200,000 .. 500,000","00:00 (00:00)","Artifice Studio","Artifice Studio"
"69","TrackMania² Stadium","Feb 27, 2013","$9.99","55% (82%/77%)","200,000 .. 500,000","03:05 (01:13)","Nadeo","Ubisoft"
"70","Rise of Flight United","Sep 5, 2013","Free","13% (53%/77%)","200,000 .. 500,000","00:29 (00:09)","777 Studios","1C-777"
"74","Ace Combat Assault Horizon - Enhanced Edition","Jan 24, 2013","$19.99","19% (60%/77%)","200,000 .. 500,000","00:54 (01:09)","NAMCO","BANDAI NAMCO Entertainment"
"75","Eldritch","Oct 21, 2013","$14.99","71% (88%/77%)","200,000 .. 500,000","00:35 (00:45)","Minor Key Games","Minor Key Games"
"76","Anomaly 2","May 15, 2013","$14.99","47% (78%/77%)","200,000 .. 500,000","03:18 (01:06)","11 bit studios","11 bit studios"
"77","Teslagrad","Dec 13, 2013","$9.99","66% (86%/77%)","200,000 .. 500,000","02:09 (02:34)","Rain Games","Rain Games"
"83","Volgarr the Viking","Sep 13, 2013","$9.99","60% (84%/76%)","200,000 .. 500,000","01:26 (00:55)","Crazy Viking Studios","Adult Swim Games"
"84","SteamWorld Dig","Dec 5, 2013","$9.99","87% (93%/76%)","200,000 .. 500,000","00:00 (00:00)","Image & Form Games","Image & Form Games"
"88","Cubetractor","May 29, 2013","$9.99","74% (89%/75%)","200,000 .. 500,000","00:08 (00:02)","Ludochip","Ludochip"
"89","Anna - Extended Edition","Apr 12, 2013","$9.99","27% (66%/75%)","200,000 .. 500,000","00:48 (00:31)","Dreampainters","Kalypso Media Digital"
"91","Nihilumbra","Sep 25, 2013","$7.99","74% (89%/75%)","200,000 .. 500,000","00:00 (00:00)","BeautiFun Games","BeautiFun Games"
"93","The Night of the Rabbit","May 28, 2013","$19.99","77% (90%/75%)","200,000 .. 500,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"94","Beatbuddy: Tale of the Guardians","Aug 6, 2013","$9.99","66% (86%/75%)","200,000 .. 500,000","04:12 (01:24)","Threaks","Threaks"
"104","Divekick","Aug 20, 2013","$4.99","77% (90%/73%)","200,000 .. 500,000","00:00 (00:00)","Iron Galaxy","Iron Galaxy"
"109","Gas Guzzlers Extreme","Oct 8, 2013","$24.99","63% (85%/73%)","200,000 .. 500,000","01:14 (01:18)","Gamepires","Iceberg Interactive"
"125","The Journey Down: Chapter One","Jan 9, 2013","$8.99","68% (87%/72%)","200,000 .. 500,000","00:00 (00:00)","SkyGoblin","SkyGoblin"
"126","PixelJunk Monsters Ultimate","Aug 26, 2013","$9.99","53% (81%/72%)","200,000 .. 500,000","02:09 (01:06)","Double Eleven, Q-Games Ltd.","Double Eleven"
"129","Bionic Dues","Oct 8, 2013","$9.99","63% (85%/71%)","200,000 .. 500,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
"134","ENSLAVED: Odyssey to the West Premium Edition","Oct 24, 2013","$19.99","63% (85%/70%)","200,000 .. 500,000","00:37 (00:12)","Ninja Theory","BANDAI NAMCO Entertainment"
"135","Papo & Yo","Apr 18, 2013","$14.99","93% (95%/70%)","200,000 .. 500,000","00:01 (00:00)","Minority Media Inc.","Minority Media"
"139","Shelter","Aug 28, 2013","$9.99","66% (86%/69%)","200,000 .. 500,000","01:42 (00:36)","Might and Delight","Might and Delight"
"142","Megabyte Punch","Oct 15, 2013","$14.99","83% (92%/69%)","200,000 .. 500,000","00:28 (00:09)","Team Reptile","Team Reptile"
"144","The Cave","Jan 23, 2013","$14.99","66% (86%/68%)","200,000 .. 500,000","00:03 (00:01)","Double Fine Productions","Double Fine Productions"
"147","Scribblenauts Unmasked: A DC Comics Adventure","Sep 24, 2013","$19.99","51% (80%/68%)","200,000 .. 500,000","02:58 (02:49)","5th Cell Media","Warner Bros. Interactive Entertainment"
"155","Long Live The Queen","Nov 8, 2013","$9.99","93% (95%/67%)","200,000 .. 500,000","01:23 (01:22)","Hanako Games","Hanako Games"
"157","Rise of the Triad","Jul 31, 2013","$14.99","31% (69%/67%)","200,000 .. 500,000","00:00 (00:00)","Slipgate Studios™","Apogee Software"
"158","The Banner Saga: Factions","Feb 25, 2013","Free","39% (74%/67%)","200,000 .. 500,000","02:12 (01:42)","Stoic","Versus Evil"
"161","DuckTales: Remastered","Aug 13, 2013","$14.99","66% (86%/66%)","200,000 .. 500,000","00:18 (00:06)","WayForward","Capcom"
"168","Strike Suit Zero","Jan 23, 2013","$19.99","51% (80%/66%)","200,000 .. 500,000","00:00 (00:00)","Born Ready Games Ltd.","Born Ready Games"
"173","Slender: The Arrival","Oct 28, 2013","$9.99","71% (88%/65%)","200,000 .. 500,000","00:37 (00:54)","Blue Isle Studios","Blue Isle Studios"
"176","Dragon's Prophet","Sep 18, 2013","Free","31% (69%/63%)","200,000 .. 500,000","00:00 (00:00)","Runewaker","Infernum Productions AG"
"180","Contrast","Nov 15, 2013","$9.99","77% (90%/62%)","200,000 .. 500,000","00:55 (00:18)","Compulsion Games","Focus Home Interactive"
"183","Legend of Dungeon","Sep 13, 2013","$9.99","38% (73%/62%)","200,000 .. 500,000","02:59 (02:16)","Robot Loves Kitty","SNK CORPORATION"
"184","Sniper Elite: Nazi Zombie Army","Feb 28, 2013","$14.99","71% (88%/62%)","200,000 .. 500,000","00:00 (00:00)","Rebellion","Rebellion"
"188","Evoland","Apr 4, 2013","$9.99","58% (83%/61%)","200,000 .. 500,000","00:51 (00:29)","Shiro Games","Shiro Games"
"192","Deadly Premonition: The Director's Cut","Oct 29, 2013","$24.99","31% (69%/59%)","200,000 .. 500,000","07:49 (02:36)","Rising Star Games","Rising Star Games"
"193","Mars: War Logs","Apr 26, 2013","$14.99","36% (72%/59%)","200,000 .. 500,000","00:00 (00:00)","Spiders","Focus Home Interactive"
"197","Space Hulk","Aug 15, 2013","$24.99","31% (69%/58%)","200,000 .. 500,000","00:00 (00:00)","Full Control Studios","Full Control"
"199","God Mode","Apr 19, 2013","$9.99","31% (69%/58%)","200,000 .. 500,000","00:00 (00:00)","Old School Games","ATLUS USA"
"205","Sniper Elite: Nazi Zombie Army 2","Oct 31, 2013","$14.99","60% (84%/53%)","200,000 .. 500,000","01:22 (00:54)","","Rebellion"
"208","Alien Rage - Unlimited","Sep 24, 2013","$19.99","34% (71%/52%)","200,000 .. 500,000","00:08 (00:02)","CI Games","CI Games"
"213","Arma Tactics","Oct 1, 2013","$8.99","4% (34%/47%)","200,000 .. 500,000","02:23 (01:35)","Bohemia Interactive","Bohemia Interactive"
"221","X Rebirth","Nov 15, 2013","$29.99","6% (39%/33%)","200,000 .. 500,000","00:12 (00:07)","Egosoft","Egosoft"
