"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"320","Paranormal State: Poison Spring","Nov 26, 2013","$9.99","45% (77%)","50,000 .. 100,000","02:08 (00:42)","Teyon","Legacy Games"
"323","Primal Fears","Jan 8, 2013","$9.99","18% (59%)","50,000 .. 100,000","00:00 (00:00)","DnS Development","DnS Development"
"324","Cognition: An Erica Reed Thriller","Sep 19, 2013","$14.99","55% (82%)","50,000 .. 100,000","00:00 (00:00)","Phoenix Online Studios","Phoenix Online Publishing"
"335","The Shivah","Nov 21, 2013","$4.99","55% (82%)","50,000 .. 100,000","00:00 (00:00)","","Wadjet Eye Games"
"338","VelocityUltra","Dec 12, 2013","$9.99","63% (85%)","50,000 .. 100,000","00:00 (00:00)","Curve Digital, FuturLab","Curve Digital"
"343","RaidersSphere4th","Dec 31, 2013","$19.99","58% (83%)","50,000 .. 100,000","00:00 (00:00)","Rectangle","Sekai Project"
"344","9 Clues: The Secret of Serpent Creek","Jul 18, 2013","$9.99","74% (89%)","50,000 .. 100,000","00:00 (00:00)","Tap It Games","Artifex Mundi"
"345","Postmortem: One Must Die (Extended Cut)","Aug 15, 2013","$2.99","8% (45%)","50,000 .. 100,000","00:00 (00:00)","Unbound Creations","Unbound Creations"
"352","Stonerid","Dec 18, 2013","$4.99","28% (67%)","50,000 .. 100,000","00:00 (00:00)","Enitvare","Enitvare"
"355","Chernobyl Commando","Mar 8, 2013","$9.99","3% (26%)","50,000 .. 100,000","00:00 (00:00)","Silden","KISS ltd"
"364","Ultratron","Mar 18, 2013","$9.99","77% (90%)","50,000 .. 100,000","00:00 (00:00)","Puppygames","Puppygames"
"366","Shadows: Price For Our Sins Bonus Edition","Mar 21, 2013","$9.99","11% (49%)","50,000 .. 100,000","00:00 (00:00)","8th Floor Games","Encore, Viva Media"
"367","Mutant Mudds Deluxe","Nov 21, 2013","$9.99","47% (78%)","50,000 .. 100,000","00:00 (00:00)","Renegade Kid","Good Shepherd Entertainment"
"370","Zafehouse: Diaries","Sep 6, 2013","$1.99","28% (67%)","50,000 .. 100,000","00:00 (00:00)","Screwfly Studios","Screwfly Studios"
"372","Wizardry 7: Crusaders of the Dark Savant","Sep 10, 2013","$4.99","74% (89%)","50,000 .. 100,000","00:01 (00:00)","Sir-Tech","Gamepot, Inc., Nightdive Studios"
"380","Agricultural Simulator 2013 - Steam Edition","Jun 7, 2013","$9.99","2% (22%)","50,000 .. 100,000","00:40 (00:13)","Actalogic","United Independent Entertainment GmbH"
"382","Emergency 2014","Nov 15, 2013","$9.99","16% (57%)","50,000 .. 100,000","01:13 (00:24)","Sixteen Tons Entertainment","Sixteen Tons Entertainment"
"393","MotoGP13","Jun 20, 2013","$9.99","31% (69%)","50,000 .. 100,000","01:06 (00:22)","Milestone S.r.l.","Plug In Digital, Milestone S.r.l."
"399","Aces Wild: Manic Brawling Action!","Aug 8, 2013","$9.99","58% (83%)","50,000 .. 100,000","00:00 (00:00)","Culture Attack Studio, Tyler Doak","Culture Attack Studio"
"400","Clockwork Tales: Of Glass and Ink","Aug 8, 2013","$9.99","74% (89%)","50,000 .. 100,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"408","Time Mysteries 3: The Final Enigma","Jan 13, 2013","$9.99","66% (86%)","50,000 .. 100,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"410","Luxor 2 HD","May 13, 2013","$9.99","36% (72%)","50,000 .. 100,000","00:00 (00:00)","MumboJumbo","MumboJumbo"
"411","Alex Hunter - Lord of the Mind Platinum Edition","Dec 3, 2013","$6.99","53% (81%)","50,000 .. 100,000","03:31 (01:10)","Alawar","Viva Media"
"424","Nimble Quest","Dec 6, 2013","$4.99","77% (90%)","50,000 .. 100,000","00:00 (00:00)","","Agharta Studio"
"427","WRC 4 FIA World Rally Championship","Oct 25, 2013","$29.99","23% (63%)","50,000 .. 100,000","00:00 (00:00)","Milestone S.r.l.","Plug In Digital, Bigben Interactive"
"436","Super Puzzle Platformer Deluxe","May 24, 2013","$7.99","90% (94%)","50,000 .. 100,000","00:11 (00:06)","Andrew Morrish","Adult Swim Games"
"437","Dominions 4: Thrones of Ascension","Dec 5, 2013","$34.99","77% (90%)","50,000 .. 100,000","00:37 (00:12)","Illwinter Game Design","Illwinter Game Design"
"438","Super Motherload","Nov 15, 2013","$14.99","45% (77%)","50,000 .. 100,000","00:11 (00:03)","XGen Studios","XGen Studios"
"443","Kingdoms Rise","Nov 18, 2013","$14.99","8% (45%)","50,000 .. 100,000","00:00 (00:00)","Flyleap Studios Pty. Ltd.","Flyleap Studios Pty. Ltd."
"446","Hate Plus","Aug 19, 2013","$9.99","66% (86%)","50,000 .. 100,000","00:00 (00:00)","Love Conquers All Games","Love Conquers All Games"
"455","Knytt Underground","Oct 25, 2013","$6.99","58% (83%)","50,000 .. 100,000","00:00 (00:00)","Nifflas' Games","Ripstone"
"457","Zack Zero","Apr 29, 2013","$2.99","23% (63%)","50,000 .. 100,000","00:00 (00:00)","Crocodile Entertainment","Crocodile Entertainment"
"464","Reversion - The Meeting (2nd Chapter)","Mar 12, 2013","$4.99","31% (69%)","50,000 .. 100,000","00:00 (00:00)","3f Interactive","3f Interactive"
"474","Realms of Arkania: Blade of Destiny","Jul 29, 2013","$14.99","11% (50%)","50,000 .. 100,000","00:00 (00:00)","Crafty Studios","United Independent Entertainment GmbH"
"486","Woodcutter Simulator 2013","Dec 19, 2013","$9.99","2% (22%)","50,000 .. 100,000","00:00 (00:00)","United Independent Entertainment GmbH","United Independent Entertainment GmbH"
"490","Doorways: Prelude","Sep 20, 2013","$9.99","21% (61%)","50,000 .. 100,000","01:18 (00:26)","Saibot Studios","Saibot Studios"
"504","Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded","Jun 27, 2013","N/A","51% (80%)","50,000 .. 100,000","00:00 (00:00)","nFusion Interactive","Replay Games"
"510","99 Spirits","May 31, 2013","$9.99","39% (74%)","50,000 .. 100,000","00:00 (00:00)","TORaIKI","Fruitbat Factory"
"29","Stick it to The Man!","Dec 13, 2013","$7.99","90% (94%/83%)","20,000 .. 50,000","00:00 (00:00)","Zoink Games","Ripstone"
"41","Dyad","Apr 24, 2013","$14.99","47% (78%/80%)","20,000 .. 50,000","00:00 (00:00)","][ Games Inc","Shawn McGrath"
"64","Samurai Gunn","Dec 10, 2013","$14.99","90% (94%/78%)","20,000 .. 50,000","00:31 (00:20)","Teknopants","Maxistentialism"
"85","Fester Mudd: Curse of the Gold - Episode 1","Nov 4, 2013","$9.99","36% (72%/76%)","20,000 .. 50,000","00:00 (00:00)","","FarSight Studios"
"102","BIT.TRIP FATE","Jul 11, 2013","$9.99","22% (62%/74%)","20,000 .. 50,000","00:15 (00:05)","Gaijin Games","Gaijin Games"
"107","Driftmoon","Feb 26, 2013","$14.99","68% (87%/73%)","20,000 .. 50,000","00:00 (00:00)","Ville Mönkkönen, Anne Mönkkönen","Instant Kingdom"
"110","Fist Puncher","Jun 21, 2013","$9.99","41% (75%/73%)","20,000 .. 50,000","00:00 (00:00)","Team2Bit","Adult Swim Games"
"131","Battle Worlds: Kronos","Nov 4, 2013","$19.99","23% (63%/71%)","20,000 .. 50,000","00:00 (00:00)","KING Art","KING Art, THQ Nordic"
"137","Retrovirus","Jan 31, 2013","$9.99","36% (72%/70%)","20,000 .. 50,000","00:00 (00:00)","Cadenza Interactive","Cadenza Interactive"
"152","Pandora: First Contact","Nov 14, 2013","$29.99","23% (63%/68%)","20,000 .. 50,000","00:00 (00:00)","Proxy Studios","Slitherine Ltd."
"156","A Walk in the Dark","Nov 7, 2013","$6.99","53% (81%/67%)","20,000 .. 50,000","00:00 (00:00)","","QCF Design"
"159","Cloudberry Kingdom","Aug 2, 2013","$9.99","77% (90%/67%)","20,000 .. 50,000","00:00 (00:00)","Pwnee Studios","Ubisoft"
"167","Armada 2526 Gold Edition","Feb 28, 2013","$19.99","18% (59%/66%)","20,000 .. 50,000","00:00 (00:00)","Ntronium Games","Iceberg Interactive"
"169","Alone in the Dark: The New Nightmare","Oct 29, 2013","$6.99","19% (60%/66%)","20,000 .. 50,000","00:08 (00:02)","Darkworks, Spiral House","THQ Nordic"
"175","Defense Technica","Oct 24, 2013","$14.99","6% (38%/63%)","20,000 .. 50,000","00:00 (00:00)","Kuno Interactive","Kuno Interactive"
"177","Storm","Jun 27, 2013","$9.99","30% (68%/63%)","20,000 .. 50,000","00:00 (00:00)","Eko Software","Eko Software"
"179","Bientôt l'été","Feb 6, 2013","$9.99","13% (52%/62%)","20,000 .. 50,000","00:00 (00:00)","Tale of Tales","Tale of Tales"
"181","Redshirt","Nov 13, 2013","$9.99","6% (40%/62%)","20,000 .. 50,000","00:00 (00:00)","The Tiniest Shark","Positech"
"209","Lords of Football","Apr 5, 2013","$14.99","9% (46%/52%)","20,000 .. 50,000","00:00 (00:00)","Geniaware Srl","Fish Eagle"
"212","Bad Bots","May 17, 2013","$4.99","31% (69%/49%)","20,000 .. 50,000","00:00 (00:00)","Point Five Projects","Digital Tribe"
"216","Air Conflicts: Vietnam","Oct 2, 2013","$14.99","3% (27%/43%)","20,000 .. 50,000","00:00 (00:00)","Games Farm","Games Farm"
"222","Citadels","Jul 25, 2013","$14.99","1% (13%/20%)","20,000 .. 50,000","00:00 (00:00)","Games Distillery s.r.o.","HandyGames"
"224","Tomb Raider - The Final Hours Digital Book","Mar 7, 2013","$1.99","77% (90%)","20,000 .. 50,000","00:00 (00:00)","Geoff Keighley","Geoff Keighley"
"228","Bunny Must Die! Chelsea and the 7 Devils","Sep 26, 2013","$9.99","30% (68%)","20,000 .. 50,000","00:00 (00:00)","Platine Dispositif","Rockin' Android, Rockin Android"
"239","Smooth Operators","Jan 14, 2013","$2.99","38% (73%)","20,000 .. 50,000","00:00 (00:00)","Heydeck Games","Heydeck Games"
"245","Farm for your Life","Jun 5, 2013","$9.99","47% (78%)","20,000 .. 50,000","00:01 (00:00)","Hammer Labs","Hammer Labs"
"248","Vox","Nov 12, 2013","$9.99","2% (24%)","20,000 .. 50,000","00:00 (00:00)","","Warner Bros. Interactive Entertainment"
"249","Zombie Solitaire","Nov 15, 2013","$8.99","39% (74%)","20,000 .. 50,000","00:00 (00:00)","rokaplay","rokaplay"
"251","Wooden Sen'SeY","Dec 5, 2013","$9.99","30% (68%)","20,000 .. 50,000","00:00 (00:00)","Upper Byte","Spawn Digital"
"252","Farm Frenzy 4","Aug 1, 2013","$6.99","47% (78%)","20,000 .. 50,000","00:01 (00:00)","Alawar Entertainment","Buka Entertainment"
"278","Jack Keane 2 - The Fire Within","Jun 28, 2013","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Deck 13","astragon Entertainment"
"282","Salvation Prophecy","Oct 7, 2013","$19.99","23% (63%)","20,000 .. 50,000","00:00 (00:00)","Firedance Games","Vertigo Gaming Inc."
"285","Go Home Dinosaurs!","Mar 14, 2013","$9.99","90% (94%)","20,000 .. 50,000","00:00 (00:00)","Fire Hose Games","Fire hose Games"
"289","Vector","Dec 4, 2013","$6.99","71% (88%)","20,000 .. 50,000","00:26 (00:12)","","Nekki GmbH"
"294","Deer Hunt Legends","Jan 7, 2013","$4.99","N/A (N/A)","20,000 .. 50,000","00:02 (00:00)","Raylight Games","KISS ltd, Maximum Games"
"297","Eleusis","Oct 16, 2013","$14.99","22% (62%)","20,000 .. 50,000","00:01 (00:00)","Nocturnal works","Nocturnal works"
"299","Elementary My Dear Majesty!","Nov 15, 2013","$0.99","45% (77%)","20,000 .. 50,000","00:00 (00:00)","Alawar Dreamdale","Alawar Entertainment"
"300","The Treasures of Montezuma 4","Oct 9, 2013","$6.99","58% (83%)","20,000 .. 50,000","00:00 (00:00)","Alawar Entertainment","Buka Entertainment"
"305","The Mysterious Cities of Gold","Nov 21, 2013","$11.99","49% (79%)","20,000 .. 50,000","00:00 (00:00)","Neko Entertainment","Neko Entertainment"
"306","Reach for the Sun","May 6, 2013","$4.99","27% (66%)","20,000 .. 50,000","00:00 (00:00)","Filament Games","Treexy"
"314","Alien Spidy","Mar 20, 2013","$9.99","12% (51%)","20,000 .. 50,000","00:00 (00:00)","Enigma SP","Kalypso Media Digital"
"319","Farming Giant","May 28, 2013","$1.99","2% (19%)","20,000 .. 50,000","00:00 (00:00)","Actalogic","Toplitz Productions"
"326","Poöf","Nov 8, 2013","$6.99","68% (87%)","20,000 .. 50,000","00:00 (00:00)","Arkedo","Neko Entertainment"
"328","Magrunner: Dark Pulse","Jun 20, 2013","$9.99","63% (85%)","20,000 .. 50,000","00:00 (00:00)","Frogwares","Frogwares"
"329","Ride 'em Low","Nov 4, 2013","$2.99","17% (58%)","20,000 .. 50,000","00:00 (00:00)","Red Dot Games, PLAY","Libredia"
"339","MURI","Dec 6, 2013","$4.99","90% (94%)","20,000 .. 50,000","00:00 (00:00)","Ludosity, Remar Games","Ludosity"
"340","Castle: Never Judge a Book by its Cover","Jul 9, 2013","N/A","24% (64%)","20,000 .. 50,000","00:00 (00:00)","Gunnar Games","Viva Media, GameMill"
"346","Luxuria Superbia","Nov 5, 2013","$6.99","58% (83%)","20,000 .. 50,000","00:00 (00:00)","Tale of Tales","Tale of Tales"
"349","InFlux","Jul 23, 2013","$9.99","34% (71%)","20,000 .. 50,000","00:00 (00:00)","Impromptu Games","Impromptu Games"
"350","Angry Birds Space","Mar 7, 2013","$4.99","74% (89%)","20,000 .. 50,000","00:00 (00:00)","Rovio Entertainment Ltd","Rovio Entertainment Ltd"
"357","FINAL FANTASY XI: Ultimate Collection Seekers Edition","Apr 19, 2013","$9.89","60% (84%)","20,000 .. 50,000","41:52 (27:54)","Square Enix","Square Enix"
"369","Blue Rose","Aug 17, 2013","$15.99","51% (80%)","20,000 .. 50,000","00:00 (00:00)","White Cat","White Cat"
"377","Tiny Barbarian DX","Dec 3, 2013","$29.99","68% (87%)","20,000 .. 50,000","00:00 (00:00)","StarQuail Games","Nicalis, Inc"
"384","Gentlemen!","Nov 5, 2013","$4.99","33% (70%)","20,000 .. 50,000","00:00 (00:00)","Lucky Frame","Blazing Griffin Ltd."
"385","Flashback","Oct 1, 2013","$9.99","21% (61%)","20,000 .. 50,000","00:00 (00:00)","","Ubisoft"
"398","Small Town Terrors Pilgrim's Hook Collector's Edition","Apr 18, 2013","$14.99","53% (81%)","20,000 .. 50,000","00:00 (00:00)","Gunnar Games","Viva Media"
"404","Intake","Nov 5, 2013","$9.99","93% (95%)","20,000 .. 50,000","00:00 (00:00)","Cipher Prime Studios","Cipher Prime Studios"
"406","Disillusions Manga Horror","Apr 6, 2013","$0.99","16% (57%)","20,000 .. 50,000","00:00 (00:00)","StephenAllen","StephenAllen"
"414","Mr. Bree+","Nov 26, 2013","$2.99","68% (87%)","20,000 .. 50,000","00:00 (00:00)","TawStudio Entertainment","TawStudio Entertainment"
"444","PCMark 8","Oct 21, 2013","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","UL","UL"
"445","Gimbal","Nov 19, 2013","$9.99","55% (82%)","20,000 .. 50,000","00:00 (00:00)","8888888 LABS","8888888 LABS"
"448","Truck Racer","Oct 18, 2013","$9.99","30% (68%)","20,000 .. 50,000","00:00 (00:00)","Kylotonn Entertainment","Plug In Digital, Bigben Interactive"
"454","Dead Sky","Nov 22, 2013","$1.99","6% (38%)","20,000 .. 50,000","00:00 (00:00)","","rokapublish"
"460","Gods vs Humans","Sep 5, 2013","$4.99","11% (50%)","20,000 .. 50,000","00:00 (00:00)","Artefacts Studio","Microids Indie"
"465","Risk","Jun 10, 2013","$9.99","6% (39%)","20,000 .. 50,000","00:00 (00:00)","Sperasoft, Inc.","PopCap"
"467","9.03m","Sep 12, 2013","Free","55% (82%)","20,000 .. 50,000","00:00 (00:00)","Space Budgie","Space Budgie"
"470","Tank Operations: European Campaign","Nov 22, 2013","$19.99","3% (29%)","20,000 .. 50,000","00:00 (00:00)","Linked Dimensions","rokapublish"
"476","Joe Danger","Jun 24, 2013","$14.99","58% (83%)","20,000 .. 50,000","00:00 (00:00)","Hello Games","Hello Games"
"478","Ski Region Simulator - Gold Edition","Jan 16, 2013","$8.99","38% (73%)","20,000 .. 50,000","00:16 (00:05)","Giants Software","Giants Software"
"495","Legends of Aethereus","Sep 27, 2013","N/A","2% (24%)","20,000 .. 50,000","00:00 (00:00)","Three Gates","Three Gates"
"502","Heroes Rise: The Hero Project","Sep 20, 2013","$3.99","55% (82%)","20,000 .. 50,000","00:00 (00:00)","Choice of Games","Choice of Games"
"505","Bridge It +","Nov 18, 2013","$6.99","23% (63%)","20,000 .. 50,000","00:00 (00:00)","Chronic Logic","Libredia Entertainment"
"508","Angelica Weaver: Catch Me When You Can","Jan 7, 2013","$13.99","36% (72%)","20,000 .. 50,000","00:00 (00:00)","MumboJumbo","MumboJumbo"
"509","Beast Boxing Turbo","Nov 19, 2013","$4.99","68% (87%)","20,000 .. 50,000","00:00 (00:00)","","Triple.B.Titles"
"32","Dominions 3: The Awakening","Sep 10, 2013","$19.99","47% (78%/82%)","0 .. 20,000","00:00 (00:00)","Illwinter Game Design","Illwinter Game Design"
"34","Rising Storm Game of the Year Edition","May 30, 2013","$19.99","99% (98%/82%)","0 .. 20,000","00:00 (00:00)","Tripwire Interactive, Anti Matter Games","Tripwire Interactive"
"145","Rain Blood Chronicles: Mirage","Nov 11, 2013","$4.99","38% (73%/68%)","0 .. 20,000","00:00 (00:00)","","Origo Games"
"190","Signal Ops","Apr 2, 2013","$9.99","24% (64%/61%)","0 .. 20,000","00:00 (00:00)","Space Bullet Dynamics Corporation","Space Bullet Dynamics Corporation"
"214","Hexodius","Jun 21, 2013","$9.99","N/A (N/A/47%)","0 .. 20,000","00:00 (00:00)","Brain Slap Studio","BANDAI NAMCO Entertainment"
"227","Secret Files: Sam Peters","Oct 18, 2013","$9.99","23% (63%)","0 .. 20,000","00:00 (00:00)","Animation Arts","Deep Silver"
"229","Gravi","Oct 8, 2013","$4.99","13% (53%)","0 .. 20,000","00:00 (00:00)","Hashbang Games","Vertigo Gaming Inc."
"231","Scrabble","Jun 10, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sperasoft, Inc.","PopCap"
"234","Nameless ~The one thing you must recall~","Nov 11, 2013","$29.99","90% (94%)","0 .. 20,000","00:00 (00:00)","Sujin Ri, Yunjeong Yun, Hyein Go, Minsu Ock, Marcos Arroyo, Seona Lee, Sohyeon Jeon","Cheritz"
"235","DIVO","Feb 1, 2013","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Internal Games","Internal Games"
"241","Bionic Heart 2","Apr 1, 2013","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Winter Wolves","Winter Wolves"
"243","Princess Battles","Jul 26, 2013","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nekomura Games","Nekomura Games"
"254","Spaceforce Constellations","Dec 12, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dreamatrix","Dreamatrix"
"261","Cut the Rope","Mar 22, 2013","$4.99","74% (89%)","0 .. 20,000","00:00 (00:00)","Zeptolab UK Limited","Zeptolab UK Limited"
"264","I Am Vegend - Zombiegeddon","Jan 10, 2013","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Appmania/i-Free","Libredia"
"266","RaySupreme 3D","Dec 16, 2013","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BrainDistrict","BrainDistrict"
"267","Choice of the Deathless","Dec 20, 2013","$4.99","87% (93%)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"269","Nicole","Oct 17, 2013","$18.99","49% (79%)","0 .. 20,000","00:00 (00:00)","Winter Wolves","Winter Wolves"
"272","Nancy Drew: Ghost of Thornton Hall","May 14, 2013","$19.99","83% (92%)","0 .. 20,000","00:00 (00:00)","HeR Interactive, Inc.","HeR Interactive"
"275","Virtual DJ - Broadcaster Edition","Mar 7, 2013","N/A","9% (46%)","0 .. 20,000","00:00 (00:00)","Atomix Productions","Focus Home Interactive"
"281","Mavis Beacon Teaches Typing Family Edition","Aug 18, 2013","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bytes of Learning","Encore"
"284","Formula Truck 2013","Apr 10, 2013","$9.99","30% (68%)","0 .. 20,000","00:00 (00:00)","Reiza Studios","Reiza Studios"
"288","SLAMMED!","Jun 28, 2013","$4.99","90% (94%)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"291","Disney Planes","Aug 6, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Behaviour Interactive","Disney Interactive"
"309","LogoMaker 4","Dec 4, 2013","$29.99","19% (60%)","0 .. 20,000","00:00 (00:00)","Studio V5","Studio V5"
"310","PAC-MAN and the Ghostly Adventures","Oct 29, 2013","$19.99","49% (79%)","0 .. 20,000","00:00 (00:00)","NAMCO BANDAI Games","BANDAI NAMCO Entertainment"
"312","Darkfall Unholy Wars","Apr 25, 2013","N/A","25% (65%)","0 .. 20,000","00:00 (00:00)","Aventurine SA","Aventurine"
"315","PlayClaw 5 - Game Recording and Streaming","Sep 10, 2013","$39.99","27% (66%)","0 .. 20,000","00:12 (00:07)","","Gameforge 4D GmbH"
"322","Slam Bolt Scrappers","Mar 14, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fire Hose Games","Fire Hose Games"
"327","Dungeon Shooter 2","Jun 6, 2013","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rabid Design Studios","Rabid Design Studios"
"331","300 Dwarves","Jun 17, 2013","$6.99","11% (49%)","0 .. 20,000","00:00 (00:00)","Artifex Mundi","Viva Media, Inc"
"333","Battleship","Jun 10, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sperasoft, Inc.","PopCap"
"337","Blasted Fortress","Nov 20, 2013","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dapper Swine","Dapper Swine"
"347","Geekbench 3","Aug 15, 2013","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Primate Labs Inc.","Primate Labs Inc."
"356","Tennis Elbow 2013","Jan 24, 2013","$24.99","77% (90%)","0 .. 20,000","00:10 (00:03)","Mana Games","Mana Games"
"363","Bret Airborne","Apr 9, 2013","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Machine 22","Machine 22"
"365","Cranky Cat","Jun 5, 2013","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","March Entertainment","March Entertainment"
"379","Exodus","Jun 1, 2013","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Galhmac Game Studio","Multi-Form"
"381","Call of Duty: Ghosts - Digital Hardened Edition","Nov 4, 2013","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Infinity Ward","Activision"
"388","Highborn","Feb 19, 2013","$1.99","24% (64%)","0 .. 20,000","00:00 (00:00)","Jet Set Games","Jet Set Games"
"390","Rise of Prussia Gold","May 8, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ageod","Slitherine Ltd."
"392","Might & Magic: Heroes VI - Shades of Darkness","May 2, 2013","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Virtuos","Ubisoft"
"397","Finders","Aug 15, 2013","$5.99","45% (77%)","0 .. 20,000","00:00 (00:00)","Alawar Entertainment, Amegami","Buka Entertainment"
"401","MovieWriterPro","Sep 28, 2013","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Writer Zone","The Writer Zone"
"403","Ballad of Solar","Apr 18, 2013","$6.99","71% (88%)","0 .. 20,000","00:00 (00:00)","Alawar","Buka Entertainment"
"407","Dark Matter","Oct 17, 2013","$9.99","6% (40%)","0 .. 20,000","00:00 (00:00)","InterWave Studios","Iceberg Interactive"
"412","Songs2See","Nov 26, 2013","$14.99","13% (52%)","0 .. 20,000","00:00 (00:00)","Songquito UG","Songquito UG"
"417","Mosaico","Nov 26, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Soulid Studio","Soulid Studio"
"425","MUD Motocross World Championship","Feb 26, 2013","$9.99","11% (49%)","0 .. 20,000","00:00 (00:00)","Milestone S.r.l.","BANDAI NAMCO Entertainment"
"429","The Game of Life","Jun 10, 2013","$9.99","4% (33%)","0 .. 20,000","00:00 (00:00)","Virtuos","PopCap"
"433","Fritz for Fun 13","Aug 12, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chessbase","Viva Media"
"434","Train Simulator: West Somerset Railway Route Add-On","Nov 14, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"447","Bounders and Cads","Jan 13, 2013","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wax Lyrical Games","Wax Lyrical Games"
"452","Flashpoint Campaigns: Red Storm Player's Edition","Oct 9, 2013","$49.99","80% (91%)","0 .. 20,000","00:00 (00:00)","On Target Simulations","Slitherine Ltd."
"461","The Happy Hereafter","Oct 2, 2013","$3.99","47% (78%)","0 .. 20,000","03:01 (01:00)","Alawar, Mirball Games","Buka Entertainment"
"473","Solar War","Aug 20, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Snipefish Entertainment","Snipefish Entertainment"
"475","Metal Planet","Nov 11, 2013","$5.99","N/A (N/A)","0 .. 20,000","04:20 (01:26)","Pavel Bulatov","Pavel Bulatov"
"481","Perfection.","May 17, 2013","$2.99","15% (55%)","0 .. 20,000","00:00 (00:00)","Greg Lobanov","Digital Tribe"
"484","Pirates vs Corsairs: Davy Jones's Gold","May 23, 2013","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Little World Studio","Games For All"
"488","Train Simulator: Pacific Surfliner LA - San Diego Route","Oct 17, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"489","Civil War II","Sep 17, 2013","$39.99","43% (76%)","0 .. 20,000","00:00 (00:00)","Ageod","Slitherine Ltd."
"492","MOAI: Build Your Dream","Apr 7, 2013","$6.99","47% (78%)","0 .. 20,000","00:00 (00:00)","Alawar Entertainment, Toyman Interactive","Buka Entertainment"
"497","World Basketball Tycoon","Nov 18, 2013","$2.99","1% (11%)","0 .. 20,000","00:00 (00:00)","","Strategy First"
"500","Train Simulator: East Coast Main Line London-Peterborough Route Add-On","Dec 5, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"511","Aartform Curvy 3D 3.0","Nov 12, 2013","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aartform","Aartform"